datum,gemnr,gemeente,meldingen,zkh opname,overleden,bevaant,meldingen per 100.000,zkh opname per 100.000,overleden per 100.000,provincie
31/03/2020,1680,aa en hunze,0,1,0,25453,0,0.6,0,drenthe
31/03/2020,358,aalsmeer,0,5,0,31857,0,19.6,0,noord-holland
31/03/2020,197,aalten,0,1,0,27117,0,3.1,0,gelderland
31/03/2020,482,alblasserdam,0,2,0,27836,0,7.2,0,zuid-holland
31/03/2020,613,albrandswaard,0,4,0,20165,0,19.8,0,zuid-holland
31/03/2020,361,alkmaar,0,19,0,25589,0,74.3,0,noord-holland
31/03/2020,141,almelo,0,8,0,109444,0,7.3,0,overijssel
31/03/2020,34,almere,0,46,0,73080,0,62.9,0,flevoland
31/03/2020,484,alphen aan den rijn,0,29,0,211840,0,13.7,0,zuid-holland
31/03/2020,1723,alphen-chaam,0,9,0,111889,0,8.0,0,noord-brabant
31/03/2020,1959,altena,0,17,0,10213,0,166.5,0,noord-brabant
31/03/2020,307,amersfoort,0,24,0,55980,0,645.5,0,utrecht
31/03/2020,362,amstelveen,0,28,0,3718,0,17.8,0,noord-holland
31/03/2020,363,amsterdam,0,244,0,157279,0,266.1,0,noord-holland
31/03/2020,200,apeldoorn,0,19,0,91691,0,2.2,0,gelderland
31/03/2020,3,appingedam,0,1,0,872779,0,0.6,0,groningen
31/03/2020,202,arnhem,0,28,0,163829,0,240.5,0,gelderland
31/03/2020,106,assen,0,5,0,11644,0,3.1,0,drenthe
31/03/2020,743,asten,0,4,0,161368,0,5.8,0,noord-brabant
31/03/2020,744,baarle-nassau,0,1,0,68606,0,6.0,0,noord-brabant
31/03/2020,308,baarn,0,2,0,16734,0,29.2,0,utrecht
31/03/2020,489,barendrecht,0,16,0,6860,0,64.3,0,zuid-holland
31/03/2020,203,barneveld,0,5,0,24873,0,10.3,0,gelderland
31/03/2020,1954,beekdaelen,0,12,0,48713,0,75.6,0,limburg
31/03/2020,370,beemster,0,2,0,59077,0,5.6,0,noord-holland
31/03/2020,889,beesel,0,10,0,15868,0,99.8,0,limburg
31/03/2020,1945,berg en dal,0,15,0,35976,0,111.3,0,gelderland
31/03/2020,1724,bergeijk,0,5,0,10025,0,14.3,0,noord-brabant
31/03/2020,893,bergen (l.),0,3,0,13483,0,16.1,0,limburg
31/03/2020,373,bergen (nh.),0,8,0,34990,0,61.1,0,noord-holland
31/03/2020,748,bergen op zoom,0,11,0,18638,0,36.9,0,noord-brabant
31/03/2020,1859,berkelland,0,1,0,13085,0,1.5,0,gelderland
31/03/2020,1721,bernheze,0,57,0,29844,0,130.3,0,noord-brabant
31/03/2020,753,best,0,18,0,67489,0,57.6,0,noord-brabant
31/03/2020,209,beuningen,0,12,0,43748,0,40.0,0,gelderland
31/03/2020,375,beverwijk,0,5,0,31247,0,19.3,0,noord-holland
31/03/2020,1728,bladel,0,7,0,29985,0,16.8,0,noord-brabant
31/03/2020,376,blaricum,0,1,0,25891,0,4.9,0,noord-holland
31/03/2020,377,bloemendaal,0,3,0,41613,0,26.0,0,noord-holland
31/03/2020,1901,bodegraven-reeuwijk,0,2,0,20395,0,8.5,0,zuid-holland
31/03/2020,755,boekel,0,21,0,11536,0,60.2,0,noord-brabant
31/03/2020,1681,borger-odoorn,0,1,0,23570,0,9.3,0,drenthe
31/03/2020,147,borne,0,10,0,34869,0,39.1,0,overijssel
31/03/2020,654,borsele,0,3,0,10784,0,12.9,0,zeeland
31/03/2020,756,boxmeer,0,8,0,25558,0,35.2,0,noord-brabant
31/03/2020,757,boxtel,0,9,0,23313,0,30.6,0,noord-brabant
31/03/2020,758,breda,0,113,0,22738,0,366.8,0,noord-brabant
31/03/2020,501,brielle,0,5,0,29371,0,2.7,0,zuid-holland
31/03/2020,1876,bronckhorst,0,1,0,30803,0,5.8,0,gelderland
31/03/2020,213,brummen,0,3,0,184271,0,8.3,0,gelderland
31/03/2020,899,brunssum,0,9,0,17282,0,43.4,0,limburg
31/03/2020,312,bunnik,0,4,0,36052,0,14.4,0,utrecht
31/03/2020,313,bunschoten,0,1,0,20756,0,6.6,0,utrecht
31/03/2020,214,buren,0,5,0,27817,0,22.9,0,gelderland
31/03/2020,502,capelle aan den ijssel,0,20,0,15191,0,74.8,0,zuid-holland
31/03/2020,383,castricum,0,8,0,21867,0,11.9,0,noord-holland
31/03/2020,109,coevorden,0,5,0,26742,0,13.9,0,drenthe
31/03/2020,1706,cranendonck,0,28,0,67151,0,79.3,0,noord-brabant
31/03/2020,1684,cuijk,0,5,0,35988,0,23.6,0,noord-brabant
31/03/2020,216,culemborg,0,13,0,35296,0,51.7,0,gelderland
31/03/2020,148,dalfsen,0,7,0,21166,0,24.2,0,overijssel
31/03/2020,310,de bilt,0,11,0,25139,0,58.2,0,utrecht
31/03/2020,1940,de fryske marren,0,11,0,28956,0,25.5,0,friesland
31/03/2020,736,de ronde venen,0,11,0,28585,0,21.3,0,utrecht
31/03/2020,1690,de wolden,0,2,0,18916,0,4.5,0,drenthe
31/03/2020,503,delft,0,19,0,43124,0,78.1,0,zuid-holland
31/03/2020,10,delfzijl,0,4,0,51567,0,3.9,0,groningen
31/03/2020,400,den helder,0,6,0,44457,0,24.3,0,noord-holland
31/03/2020,762,deurne,0,34,0,24327,0,60.4,0,noord-brabant
31/03/2020,150,deventer,0,21,0,103659,0,64.7,0,overijssel
31/03/2020,384,diemen,0,4,0,24666,0,4.0,0,noord-holland
31/03/2020,1774,dinkelland,0,11,0,56305,0,35.7,0,overijssel
31/03/2020,221,doesburg,0,3,0,32474,0,11.3,0,gelderland
31/03/2020,222,doetinchem,0,5,0,100718,0,45.1,0,gelderland
31/03/2020,766,dongen,0,7,0,30781,0,12.1,0,noord-brabant
31/03/2020,505,dordrecht,0,26,0,26470,0,99.1,0,zuid-holland
31/03/2020,498,drechterland,0,1,0,11078,0,0.8,0,noord-holland
31/03/2020,1719,drimmelen,0,14,0,58009,0,71.0,0,noord-brabant
31/03/2020,303,dronten,0,8,0,26226,0,29.3,0,flevoland
31/03/2020,225,druten,0,12,0,119300,0,28.9,0,gelderland
31/03/2020,226,duiven,0,4,0,19717,0,21.1,0,gelderland
31/03/2020,1711,echt-susteren,0,20,0,27274,0,79.6,0,limburg
31/03/2020,385,edam-volendam,0,10,0,41569,0,31.6,0,noord-holland
31/03/2020,228,ede,0,24,0,18918,0,66.3,0,gelderland
31/03/2020,317,eemnes,0,1,0,25124,0,0.9,0,utrecht
31/03/2020,770,eersel,0,11,0,31618,0,119.0,0,noord-brabant
31/03/2020,1903,eijsden-margraten,0,6,0,36201,0,31.1,0,limburg
31/03/2020,772,eindhoven,0,46,0,117166,0,178.6,0,noord-brabant
31/03/2020,230,elburg,0,2,0,9247,0,0.9,0,gelderland
31/03/2020,114,emmen,0,6,0,19314,0,25.9,0,drenthe
31/03/2020,388,enkhuizen,0,13,0,25753,0,12.1,0,noord-holland
31/03/2020,153,enschede,0,24,0,234456,0,129.1,0,overijssel
31/03/2020,232,epe,0,7,0,23161,0,4.4,0,gelderland
31/03/2020,233,ermelo,0,8,0,107055,0,24.1,0,gelderland
31/03/2020,777,etten-leur,0,21,0,18592,0,77.8,0,noord-brabant
31/03/2020,779,geertruidenberg,0,7,0,159734,0,16.0,0,noord-brabant
31/03/2020,1771,geldrop-mierlo,0,9,0,33186,0,41.8,0,noord-brabant
31/03/2020,1652,gemert-bakel,0,48,0,27005,0,120.8,0,noord-brabant
31/03/2020,907,gennep,0,9,0,43880,0,29.3,0,limburg
31/03/2020,784,gilze en rijen,0,13,0,21538,0,76.8,0,noord-brabant
31/03/2020,1924,goeree-overflakkee,0,24,0,39733,0,90.8,0,zuid-holland
31/03/2020,664,goes,0,5,0,30725,0,10.0,0,zeeland
31/03/2020,785,goirle,0,16,0,16924,0,42.0,0,noord-brabant
31/03/2020,1942,gooise meren,0,10,0,26438,0,41.8,0,noord-holland
31/03/2020,512,gorinchem,0,9,0,50049,0,15.5,0,zuid-holland
31/03/2020,513,gouda,0,13,0,38080,0,35.1,0,zuid-holland
31/03/2020,786,grave,0,10,0,23906,0,13.6,0,noord-brabant
31/03/2020,14,groningen,0,9,0,58041,0,72.4,0,groningen
31/03/2020,1729,gulpen-wittem,0,2,0,37009,0,0.9,0,limburg
31/03/2020,158,haaksbergen,0,4,0,73443,0,28.2,0,overijssel
31/03/2020,788,haaren,0,14,0,12437,0,57.6,0,noord-brabant
31/03/2020,392,haarlem,0,26,0,232922,0,180.9,0,noord-holland
31/03/2020,394,haarlemmermeer,0,31,0,14176,0,19.0,0,noord-holland
31/03/2020,1655,halderberge,0,9,0,24309,0,5.8,0,noord-brabant
31/03/2020,160,hardenberg,0,9,0,14371,0,29.7,0,overijssel
31/03/2020,243,harderwijk,0,8,0,162961,0,13.1,0,gelderland
31/03/2020,523,hardinxveld-giessendam,0,1,0,156039,0,2.1,0,zuid-holland
31/03/2020,72,harlingen,0,1,0,30277,0,5.5,0,friesland
31/03/2020,244,hattem,0,3,0,60940,0,19.1,0,gelderland
31/03/2020,396,heemskerk,0,14,0,48429,0,114.6,0,noord-holland
31/03/2020,397,heemstede,0,4,0,18295,0,10.2,0,noord-holland
31/03/2020,246,heerde,0,17,0,15720,0,62.4,0,gelderland
31/03/2020,74,heerenveen,0,5,0,12213,0,26.9,0,friesland
31/03/2020,398,heerhugowaard,0,17,0,39188,0,33.7,0,noord-holland
31/03/2020,917,heerlen,0,24,0,27239,0,41.7,0,limburg
31/03/2020,1658,heeze-leende,0,5,0,18587,0,5.7,0,noord-brabant
31/03/2020,399,heiloo,0,5,0,50494,0,31.0,0,noord-holland
31/03/2020,163,hellendoorn,0,3,0,57592,0,12.5,0,overijssel
31/03/2020,530,hellevoetsluis,0,4,0,87057,0,11.1,0,zuid-holland
31/03/2020,794,helmond,0,35,0,16150,0,87.2,0,noord-brabant
31/03/2020,531,hendrik-ido-ambacht,0,3,0,23974,0,3.2,0,zuid-holland
31/03/2020,164,hengelo,0,6,0,35923,0,19.2,0,overijssel
31/03/2020,1966,het hogeland,0,4,0,40158,0,4.9,0,groningen
31/03/2020,252,heumen,0,7,0,92432,0,14.6,0,gelderland
31/03/2020,797,heusden,0,22,0,31204,0,133.7,0,noord-brabant
31/03/2020,534,hillegom,0,3,0,81147,0,6.7,0,zuid-holland
31/03/2020,798,hilvarenbeek,0,4,0,47834,0,18.0,0,noord-brabant
31/03/2020,402,hilversum,0,13,0,16450,0,83.8,0,noord-holland
31/03/2020,1963,hoeksche waard,0,29,0,44699,0,31.9,0,zuid-holland
31/03/2020,1735,hof van twente,0,8,0,22208,0,9.1,0,overijssel
31/03/2020,1911,hollands kroon,0,17,0,15514,0,48.6,0,noord-holland
31/03/2020,118,hoogeveen,0,4,0,90883,0,8.3,0,drenthe
31/03/2020,405,hoorn,0,13,0,87461,0,23.3,0,noord-holland
31/03/2020,1507,horst aan de maas,0,21,0,35013,0,28.7,0,limburg
31/03/2020,321,houten,0,9,0,48434,0,21.2,0,utrecht
31/03/2020,406,huizen,0,9,0,55697,0,17.9,0,noord-holland
31/03/2020,677,hulst,0,4,0,73232,0,9.7,0,zeeland
31/03/2020,353,ijsselstein,0,18,0,42433,0,65.3,0,utrecht
31/03/2020,1884,kaag en braassem,0,4,0,50146,0,11.7,0,zuid-holland
